Date : 2023-05-19 19:18:56
Directory : c:\Users\Admin\Documents\GitLab\voce
Total : 330 files,  27056 codes, 1096 comments, 2368 blanks, all 30520 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        289 |     25,317 |        888 |      2,136 |     28,341 |
| JSON       |          8 |        862 |          0 |          3 |        865 |
| C++        |         13 |        490 |         94 |        155 |        739 |
| XML        |          9 |        138 |         51 |         13 |        202 |
| HTML       |          1 |         79 |         14 |          6 |         99 |
| Gradle     |          3 |         79 |          3 |         20 |        102 |
| YAML       |          1 |         54 |         45 |         19 |        118 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| Kotlin     |          1 |          4 |          0 |          3 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                             |        330 |     27,056 |      1,096 |      2,368 |     30,520 |
| . (Files)                                                                                                                                                                     |          2 |         64 |         45 |         26 |        135 |
| android                                                                                                                                                                       |         14 |        207 |         53 |         36 |        296 |
| android (Files)                                                                                                                                                               |          4 |         75 |          0 |         10 |         85 |
| android\app                                                                                                                                                                   |          9 |        127 |         52 |         25 |        204 |
| android\app (Files)                                                                                                                                                           |          1 |         46 |          3 |         11 |         60 |
| android\app\src                                                                                                                                                               |          8 |         81 |         49 |         14 |        144 |
| android\app\src\debug                                                                                                                                                         |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                                                          |          6 |         73 |         43 |         12 |        128 |
| android\app\src\main (Files)                                                                                                                                                  |          1 |         43 |         11 |          3 |         57 |
