"filename", "language", "Dart", "ApexLog", "comment", "blank", "total"
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\communication_settings_panel_cubit.dart", "Dart", 71, 0, -15, 7, 63
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\communication_settings_panel_state.dart", "Dart", 22, 0, 0, 2, 24
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\home_page_cubit.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_correction_panel_cubit.dart", "Dart", -4, 0, 10, -1, 5
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_story_to_patient_cubit.dart", "Dart", 4, 0, 0, 0, 4
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\operator_communication_cubit.dart", "Dart", 77, 0, -26, 8, 59
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\operator_communication_state.dart", "Dart", 4, 0, 0, 1, 5
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_communication_state.dart", "Dart", 0, 0, 0, 1, 1
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_communication_setup_cubit.dart", "Dart", 113, 0, 2, 20, 135
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_communication_setup_state.dart", "Dart", 19, 0, 0, 8, 27
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_comm_detail_cubit_cubit.dart", "Dart", 6, 0, 0, 0, 6
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_editor_cubit.dart", "Dart", 56, 0, 1, 8, 65
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_editor_state.dart", "Dart", 18, 0, 0, 4, 22
"c:\Users\Admin\Documents\GitLab\voce\lib\models\patient.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\Admin\Documents\GitLab\voce\lib\models\social_story.dart", "Dart", 7, 0, 0, 0, 7
"c:\Users\Admin\Documents\GitLab\voce\lib\models\social_story.g.dart", "Dart", 1, 0, 1, 0, 2
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\mbs\mb_error.dart", "Dart", 3, 0, 0, 0, 3
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\communication_screen.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\communication_setup_screen.dart", "Dart", 62, 0, 0, 0, 62
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\pages\operator_page.dart", "Dart", -89, 0, -2, -2, -93
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\pages\operator_page_edit.dart", "Dart", 201, 0, 141, 10, 352
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\pages\operator_page_translate.dart", "Dart", 157, 0, 0, 9, 166
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\pages\patient_page.dart", "Dart", 2, 0, 0, 2, 4
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\btn_communication_menu.dart", "Dart", 58, 0, 0, 1, 59
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\input_text.dart", "Dart", 2, 0, 0, 1, 3
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\operator_image_bar.dart", "Dart", 69, 0, -9, 2, 62
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\patient_details_screen.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\mbs\mb_translation_fix.dart", "Dart", 195, 0, 1, 8, 204
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_communication_screens\social_story_comm_detail_screen.dart", "Dart", 3, 0, 0, 0, 3
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_communication_screens\social_story_communication_screen.dart", "Dart", -30, 0, 30, 0, 0
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_communication_screens\social_story_communication_setup_screen.dart", "Dart", 264, 0, 1, 8, 273
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_creation_screen.dart", "Dart", 23, 0, 1, 1, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_edit_pages\social_story_translate_panel.dart", "Dart", -21, 0, 22, 0, 1
"c:\Users\Admin\Documents\GitLab\voce\lib\services\voce_api_repository.dart", "Dart", 23, 0, 0, 7, 30
"c:\Users\Admin\Documents\GitLab\voce\lib\widgets\voce_speech_to_text_button.dart", "Dart", 21, 0, 1, 0, 22
"c:\Users\Admin\Documents\GitLab\voce\lib\widgets\vocecaa_drawer.dart", "Dart", 3, 0, -34, 0, -31
"c:\Users\Admin\Documents\GitLab\voce\lib\widgets\vocecaa_image_card.dart", "Dart", -26, 0, 26, 0, 0
"c:\Users\Admin\Documents\GitLab\voce\windows\CMakeLists.txt", "ApexLog", 0, 75, 0, 21, 96
"c:\Users\Admin\Documents\GitLab\voce\windows\flutter\CMakeLists.txt", "ApexLog", 0, 93, 0, 11, 104
"c:\Users\Admin\Documents\GitLab\voce\windows\runner\CMakeLists.txt", "ApexLog", 0, 17, 0, 2, 19
"Total", "-", 1312, 185, 151, 139, 1787
