"filename", "language", "YAML", "Dart", "Markdown", "ApexLog", "C++", "XML", "JSON", "Swift", "HTML", "Gradle", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Admin\Documents\GitLab\voce\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Admin\Documents\GitLab\voce\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 3, 11, 60
"c:\Users\Admin\Documents\GitLab\voce\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 11, 3, 57
"c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\kotlin\com\example\voce\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Admin\Documents\GitLab\voce\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Admin\Documents\GitLab\voce\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\Admin\Documents\GitLab\voce\android\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\Admin\Documents\GitLab\voce\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
